text_df1,text_df2
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all,our deed be the reason of this earthquake may alla forgive u all
Forest fire near La Ronge Sask. Canada,forest fire near la range task . canada
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,all resident ask to 'shelter in place ' be be notify by officer . no other evacuation or shelter in place order be expect
"13,000 people receive #wildfires evacuation orders in California ","13,000 people receive wildfire evacuation order in california"
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,just get send this photo from ruby alaska a smoke from wildfire pour into a school
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,rockyfire update california hwy . 20 close in both direction due to lake county fire - fire wildfire
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas","flood disaster heavy rain cause flash flooding of street in monitor , colorado spring area"
I'm on top of the hill and I can see a fire in the woods...,I be on top of the hill and i can see a fire in the wood ...
There's an emergency evacuation happening now in the building across the street,there be an emergency evacuation happen now in the building across the street
I'm afraid that the tornado is coming to our area...,I be afraid that the tornado be come to our area ...
Three people died from the heat wave so far,three people die from the heat wave so far
Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,haha south tampa be get flood has- wait a second i live in south tampa what be i gon na do what be i gon na do fuck flood
#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,rain flood florida tampabay tampa 18 or 19 day . I have lose count
#Flood in Bago Myanmar #We arrived Bago,flood in ago myanmar we arrive ago
Damage to school bus on 80 in multi car crash #BREAKING ,damage to school bus on 80 in multi car crash breaking
What's up man?,what be up man ?
I love fruits,i love fruit
Summer is lovely,summer be lovely
My car is so fast,my car be so fast
What a goooooooaaaaaal!!!!!!,what a goooooooaaaaaal !
this is ridiculous....,this be ridiculous ...
London is cool ;),london be cool
Love skiing,love skiing
What a wonderful day!,what a wonderful day !
LOOOOOOL,looooool
No way...I can't eat that shit,no way ... i can not eat that shit
Was in NYC last week!,be in new york city last week !
Love my girlfriend,love my girlfriend
Cooool :),cool
Do you like pasta?,do you like pasta ?
The end!,the end !
@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C,bbcmtd wholesale market ablaze
We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw,we always try to bring the heavy . metal rt
#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi,africanbaze break newsnigeria flag set ablaze in aba .
Crying out for more! Set me ablaze,cry out for more ! set me ablaze
On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N,on plus side look at the sky last night it be ablaze
@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.,phdsquares ufc they have build so much hype around new acquisition but i doubt they will set the epl ablaze this season .
INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA,inec office in asia set ablaze -
Barbados #Bridgetown JAMAICA ÛÒ Two cars set ablaze: SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J,barbados bridgetown jamaica two car set ablaze santa cruz head of the st elizabeth police superintendent ...
Ablaze for you Lord :D,ablaze for you lord d
Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,check these out nsw
"on the outside you're ablaze and alive
but you're dead inside",on the outside you be ablaze and alive but you be dead inside
Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??,have an awesome time visit the cfc head office the anchor site and ablaze . thanks to tica vida for take care of u ?
SOOOO PUMPED FOR ABLAZE ???? @southridgelife,soon pump for ablaze ? southridgelife
I wanted to set Chicago ablaze with my preaching... But not my hotel! http://t.co/o9qknbfOFX,i want to set chicago ablaze with my preaching ... but not my hotel !
I gained 3 followers in the last week. You? Know your stats and grow with http://t.co/TIyUliF5c6,i gain 3 follower in the last week . you ? know your stats and grow with
How the West was burned: Thousands of wildfires ablaze in California alone http://t.co/vl5TBR3wbr,how the west be burn thousand of wildfire ablaze in california alone
Building the perfect tracklist to life leave the streets ablaze,build the perfect tracklist to life leave the street ablaze
Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,check these out nsw
First night with retainers in. It's quite weird. Better get used to it; I have to wear them every single night for the next year at least.,first night with retainer in . It be quite weird . good get use to it i have to wear them every single night for the next year at least .
Deputies: Man shot before Brighton home set ablaze http://t.co/gWNRhMSO8k,deputy man shot before brighton home set ablaze
"Man wife get six years jail for setting ablaze niece
http://t.co/eV1ahOUCZA",man wife get six year jail for set ablaze niece
SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintendent Lanford Salmon has r ... - http://t.co/vplR5Hka2u http://t.co/SxHW2TNNLf,santa cruz head of the st elizabeth police superintendent afford salmon have r ... -
Police: Arsonist Deliberately Set Black Church In North CarolinaåÊAblaze http://t.co/pcXarbH9An,police agonist deliberately set black church in north carolinaablaze
Noches El-Bestia '@Alexis_Sanchez: happy to see my teammates and training hard ?? goodnight gunners.?????? http://t.co/uc4j4jHvGR',niches el-best 'alexissanchez happy to see my teammate and train hard ? goodnight gunner . ?
#Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3cg,kur example on turkey flag later set it ablaze while others vandalized office of turkey front in dial
TRUCK ABLAZE : R21. VOORTREKKER AVE. OUTSIDE OR TAMBO INTL. CARGO SECTION. http://t.co/8kscqKfKkF,truck ablaze r21 . voortrekker avenue outside or tab intl . cargo section .
Set our hearts ablaze and every city was a gift And every skyline was like a kiss upon the lips @Û_ https://t.co/cYoMPZ1A0Z,set our heart ablaze and every city be a gift and every skyline be like a kiss upon the lip
They sky was ablaze tonight in Los Angeles. I'm expecting IG and FB to be filled with sunset shots if I know my peeps!!,they sky be ablaze tonight in los angeles . I be expect ig and facebook to be fill with sunset shot if i know my peep !
How the West was burned: Thousands of wildfires ablaze in #California alone http://t.co/iCSjGZ9tE1 #climate #energy http://t.co/9FxmN0l0Bd,how the west be burn thousand of wildfire ablaze in california alone climate energy
Revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd: GtxRWm,level in yours wm video by mean of mac farewell ablaze wm en route to dvd gtxrwm
"Progressive greetings!

In about a month students would have set their pens ablaze in The Torch Publications'... http://t.co/9FxPiXQuJt",progressive greeting ! in about a month student would have set their pen ablaze in the torch publication ' ...
Rene Ablaze &amp; Jacinta - Secret 2k13 (Fallen Skies Edit) - Mar 30 2013  https://t.co/7MLMsUzV1Z,rene ablaze amp jacinta - secret 2k13 fall sky edit - mar 30 2013
@Navista7 Steve these fires out here are something else! California is a tinderbox - and this clown was setting my 'hood ablaze @News24680,vista7 steve these fire out here be something else ! california be a tinderbox - and this clown be set my 'hood ablaze news24680
#NowPlaying: Rene Ablaze &amp; Ian Buff - Magnitude http://t.co/Av2JSjfFtc  #EDM,nowplaying rene ablaze amp ian buff - magnitude edm
@nxwestmidlands huge fire at Wholesale markets ablaze http://t.co/rwzbFVNXER,nxwestmidlands huge fire at wholesale market ablaze
@ablaze what time does your talk go until? I don't know if I can make it due to work.,ablaze what time do your talk go until ? i do not know if i can make it due to work .
